Sc_Agreeableness,Sc_Conscientiousness,Sc_Extraversion,Sc_Narcissism,Sc_Neuroticism,Sc_Openness,Sc_SensationSeeking,Student_ID,Gender,Fakultas,Program_Studi,Angkatan,Klaster,Profile_Name,Kategori_Risiko
48.0,70.3,51.8,48.5,44.6,51.3,38.5,ST0016,Laki-laki,FKS,Administrasi Bisnis,2022,1,The Resilient & Adaptive,Baseline / Normatif
36.0,51.2,30.3,50.7,57.9,48.5,54.4,ST0017,Laki-laki,FKS,Administrasi Bisnis,2023,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
50.1,73.8,58.7,53.8,33.0,44.3,33.0,ST0018,Laki-laki,FEB,Akuntansi,2024,1,The Resilient & Adaptive,Baseline / Normatif
39.6,71.4,47.2,46.9,35.0,62.2,24.4,ST0019,Perempuan,FRI,Sistem Informasi,2021,1,The Resilient & Adaptive,Baseline / Normatif
80.1,64.2,61.4,56.1,41.1,68.8,39.5,ST0021,Laki-laki,FTE,Teknik Elektro,2022,1,The Resilient & Adaptive,Baseline / Normatif
65.7,43.4,50.5,59.5,42.2,56.2,33.7,ST0022,Laki-laki,FEB,Manajemen,2023,1,The Resilient & Adaptive,Baseline / Normatif
58.3,70.2,49.7,47.1,25.8,45.1,40.4,ST0023,Laki-laki,FKS,Administrasi Bisnis,2024,1,The Resilient & Adaptive,Baseline / Normatif
57.7,66.1,56.2,70.7,33.2,49.3,30.5,ST0025,Perempuan,FTE,Teknik Elektro,2023,1,The Resilient & Adaptive,Baseline / Normatif
83.0,63.7,65.9,54.0,26.4,71.5,36.6,ST0026,Laki-laki,FEB,Akuntansi,2024,1,The Resilient & Adaptive,Baseline / Normatif
67.2,74.2,43.1,47.9,31.6,50.2,39.0,ST0028,Perempuan,FTE,Teknik Elektro,2023,1,The Resilient & Adaptive,Baseline / Normatif
50.9,38.7,72.2,62.8,49.5,55.4,65.9,ST0029,Perempuan,FKS,Ilmu Komunikasi,2021,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
44.1,78.9,62.5,51.8,29.5,53.8,39.9,ST0030,Perempuan,FRI,Teknik Industri,2023,1,The Resilient & Adaptive,Baseline / Normatif
34.1,48.1,46.4,35.1,73.6,47.7,55.4,ST0031,Perempuan,FIF,Data Sains,2022,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
52.4,80.6,55.0,48.3,21.8,59.9,37.0,ST0033,Perempuan,FEB,Akuntansi,2023,1,The Resilient & Adaptive,Baseline / Normatif
51.9,47.6,65.5,66.7,42.6,47.6,64.6,ST0035,Perempuan,FKS,Administrasi Bisnis,2024,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
60.1,73.0,49.4,35.4,43.0,54.1,37.0,ST0036,Laki-laki,FKS,Administrasi Bisnis,2022,1,The Resilient & Adaptive,Baseline / Normatif
29.9,46.7,40.0,47.6,69.6,42.2,52.3,ST0037,Perempuan,FRI,Teknik Industri,2021,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
51.0,79.2,31.0,82.4,30.7,65.6,35.4,ST0038,Perempuan,FEB,Akuntansi,2022,1,The Resilient & Adaptive,Baseline / Normatif
40.7,40.5,57.3,65.7,63.7,46.7,58.7,ST0039,Perempuan,FIF,Sistem Komputer,2024,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
62.4,38.4,60.3,51.5,43.0,55.1,52.7,ST0040,Perempuan,FRI,Teknik Logistik,2024,1,The Resilient & Adaptive,Baseline / Normatif
51.7,47.7,77.8,62.2,50.3,50.5,69.9,ST0041,Laki-laki,FRI,Teknik Industri,2024,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
38.8,73.6,49.2,59.1,26.4,48.4,34.6,ST0042,Perempuan,FEB,Manajemen,2023,1,The Resilient & Adaptive,Baseline / Normatif
37.0,50.2,43.0,44.2,86.5,43.9,49.2,ST0043,Perempuan,FRI,Sistem Informasi,2024,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
47.2,55.9,64.1,58.4,31.2,78.3,40.9,ST0046,Laki-laki,FKS,Ilmu Komunikasi,2022,1,The Resilient & Adaptive,Baseline / Normatif
48.1,43.7,76.8,60.1,62.3,53.6,69.3,ST0047,Laki-laki,FKS,Ilmu Komunikasi,2022,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
40.5,49.3,31.7,38.1,81.1,50.3,65.8,ST0051,Perempuan,FKS,Administrasi Bisnis,2023,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
60.7,52.5,60.8,41.8,38.2,67.5,47.8,ST0053,Perempuan,FRI,Sistem Informasi,2023,1,The Resilient & Adaptive,Baseline / Normatif
28.9,55.8,45.9,57.2,72.3,52.7,47.0,ST0055,Laki-laki,FRI,Sistem Informasi,2023,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
52.9,72.4,54.8,53.4,30.6,53.1,27.6,ST0056,Laki-laki,FIF,Data Sains,2021,1,The Resilient & Adaptive,Baseline / Normatif
71.4,51.8,49.4,37.0,39.5,47.1,41.9,ST0057,Perempuan,FEB,Manajemen,2024,1,The Resilient & Adaptive,Baseline / Normatif
77.9,62.9,59.6,35.0,34.8,70.1,42.6,ST0058,Laki-laki,FRI,Sistem Informasi,2022,1,The Resilient & Adaptive,Baseline / Normatif
85.2,53.8,71.8,57.7,34.2,68.5,45.3,ST0059,Perempuan,FEB,Manajemen,2023,1,The Resilient & Adaptive,Baseline / Normatif
49.8,31.7,34.7,42.4,80.7,51.4,56.5,ST0060,Perempuan,FKS,Administrasi Bisnis,2022,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
47.8,41.7,59.4,57.3,55.8,40.9,82.2,ST0062,Laki-laki,FRI,Teknik Logistik,2021,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
47.0,44.4,67.7,58.8,35.5,46.3,69.4,ST0063,Laki-laki,FKS,Ilmu Komunikasi,2024,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
55.8,76.8,46.8,51.1,51.8,58.3,28.4,ST0065,Laki-laki,FKS,Ilmu Komunikasi,2021,1,The Resilient & Adaptive,Baseline / Normatif
63.9,49.4,58.5,50.5,37.4,64.3,54.4,ST0068,Laki-laki,FEB,Akuntansi,2023,1,The Resilient & Adaptive,Baseline / Normatif
36.1,50.5,69.2,78.9,47.4,54.2,69.6,ST0070,Laki-laki,FRI,Teknik Logistik,2024,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
48.6,76.6,43.3,57.1,25.3,57.1,36.2,ST0072,Laki-laki,FRI,Teknik Industri,2024,1,The Resilient & Adaptive,Baseline / Normatif
67.9,52.7,68.1,60.1,38.6,68.1,49.8,ST0073,Perempuan,FEB,Manajemen,2022,1,The Resilient & Adaptive,Baseline / Normatif
61.7,81.7,45.4,69.9,32.2,44.9,40.9,ST0074,Laki-laki,FRI,Sistem Informasi,2024,1,The Resilient & Adaptive,Baseline / Normatif
49.7,47.1,57.1,75.3,45.4,50.0,59.8,ST0075,Laki-laki,FEB,Manajemen,2023,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
33.7,43.4,70.4,70.6,52.5,54.8,60.6,ST0078,Laki-laki,FKS,Ilmu Komunikasi,2023,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
45.7,32.3,73.7,68.3,44.4,56.3,70.1,ST0081,Laki-laki,FKS,Ilmu Komunikasi,2023,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
58.7,49.7,75.1,69.5,51.5,62.1,60.4,ST0083,Perempuan,FTE,Teknik Elektro,2024,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
31.0,44.5,76.3,60.4,53.4,32.2,75.4,ST0084,Laki-laki,FEB,Akuntansi,2022,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
43.4,68.8,48.7,51.9,38.5,51.2,31.2,ST0086,Laki-laki,FIF,Data Sains,2023,1,The Resilient & Adaptive,Baseline / Normatif
39.9,27.9,70.2,80.6,34.4,35.3,66.0,ST0089,Laki-laki,FIF,Informatika,2024,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
55.6,60.5,56.5,41.7,33.7,68.9,55.1,ST0090,Perempuan,FKS,Administrasi Bisnis,2021,1,The Resilient & Adaptive,Baseline / Normatif
39.3,46.6,64.1,57.8,44.5,52.0,63.1,ST0091,Perempuan,FEB,Manajemen,2023,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
54.0,52.0,26.4,40.8,73.0,58.8,31.4,ST0092,Perempuan,FIF,Informatika,2024,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
51.0,61.8,42.4,55.5,36.2,58.1,41.9,ST0093,Laki-laki,FRI,Teknik Logistik,2021,1,The Resilient & Adaptive,Baseline / Normatif
58.3,75.5,40.9,63.4,36.7,52.4,35.4,ST0095,Laki-laki,FIF,Sistem Komputer,2023,1,The Resilient & Adaptive,Baseline / Normatif
77.3,49.1,55.4,47.8,33.3,59.0,46.3,ST0096,Perempuan,FKS,Administrasi Bisnis,2024,1,The Resilient & Adaptive,Baseline / Normatif
53.7,61.6,56.5,73.6,38.9,58.0,26.2,ST0097,Laki-laki,FKS,Ilmu Komunikasi,2024,1,The Resilient & Adaptive,Baseline / Normatif
49.2,69.1,50.1,52.5,41.8,65.4,39.2,ST0098,Perempuan,FIF,Data Sains,2023,1,The Resilient & Adaptive,Baseline / Normatif
51.4,57.6,22.3,59.5,69.3,44.8,35.8,ST0099,Perempuan,FIF,Informatika,2021,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
64.6,60.7,46.0,41.2,44.0,67.5,33.1,ST0100,Perempuan,FTE,Teknik Telekomunikasi,2023,1,The Resilient & Adaptive,Baseline / Normatif
42.0,59.7,46.9,53.1,67.1,45.9,53.6,ST0101,Laki-laki,FEB,Manajemen,2023,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
60.6,64.6,54.0,66.6,36.4,45.4,29.1,ST0103,Perempuan,FTE,Teknik Elektro,2023,1,The Resilient & Adaptive,Baseline / Normatif
54.0,65.4,53.9,60.0,38.7,54.5,26.5,ST0104,Laki-laki,FEB,Akuntansi,2022,1,The Resilient & Adaptive,Baseline / Normatif
73.8,57.7,64.3,32.9,35.0,66.9,38.6,ST0105,Perempuan,FRI,Sistem Informasi,2024,1,The Resilient & Adaptive,Baseline / Normatif
57.5,41.4,74.2,53.6,36.5,52.1,58.0,ST0106,Perempuan,FTE,Teknik Elektro,2023,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
59.5,45.9,84.1,63.9,41.5,55.5,60.5,ST0107,Laki-laki,FTE,Teknik Elektro,2023,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
53.8,70.7,53.4,51.0,43.0,51.3,38.4,ST0109,Perempuan,FEB,Manajemen,2021,1,The Resilient & Adaptive,Baseline / Normatif
55.6,64.6,52.4,49.8,40.1,60.8,33.1,ST0110,Perempuan,FIF,Informatika,2024,1,The Resilient & Adaptive,Baseline / Normatif
72.3,54.9,59.9,35.8,40.1,60.3,61.9,ST0111,Laki-laki,FTE,Teknik Telekomunikasi,2024,1,The Resilient & Adaptive,Baseline / Normatif
78.6,51.6,68.3,34.5,49.4,52.3,37.3,ST0112,Perempuan,FKS,Administrasi Bisnis,2023,1,The Resilient & Adaptive,Baseline / Normatif
47.8,70.1,56.8,43.7,27.1,55.0,37.2,ST0115,Laki-laki,FRI,Teknik Industri,2021,1,The Resilient & Adaptive,Baseline / Normatif
33.8,45.5,67.3,57.6,46.9,57.3,63.1,ST0116,Perempuan,FIF,Informatika,2023,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
33.4,44.4,40.3,39.7,68.1,71.7,44.8,ST0117,Laki-laki,FTE,Teknik Telekomunikasi,2024,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
64.0,73.9,55.6,58.3,33.5,49.6,41.1,ST0118,Perempuan,FEB,Manajemen,2024,1,The Resilient & Adaptive,Baseline / Normatif
64.2,51.5,61.9,50.2,46.3,60.6,55.1,ST0119,Laki-laki,FRI,Teknik Logistik,2023,1,The Resilient & Adaptive,Baseline / Normatif
52.1,43.5,71.9,48.7,55.6,44.1,62.2,ST0120,Laki-laki,FTE,Teknik Telekomunikasi,2022,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
34.6,36.9,41.1,44.8,65.2,58.0,40.2,ST0121,Perempuan,FTE,Teknik Telekomunikasi,2023,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
45.5,44.2,69.5,71.3,63.1,54.0,61.9,ST0122,Laki-laki,FRI,Sistem Informasi,2023,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
47.1,56.9,79.7,52.8,51.5,31.5,58.0,ST0123,Perempuan,FTE,Teknik Telekomunikasi,2022,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
60.1,73.3,44.2,52.7,30.8,51.8,26.8,ST0125,Laki-laki,FEB,Manajemen,2023,1,The Resilient & Adaptive,Baseline / Normatif
47.0,62.6,58.2,52.2,36.4,60.3,34.6,ST0126,Perempuan,FIF,Data Sains,2022,1,The Resilient & Adaptive,Baseline / Normatif
46.0,66.8,51.2,55.5,41.8,57.0,30.7,ST0127,Perempuan,FIF,Informatika,2023,1,The Resilient & Adaptive,Baseline / Normatif
40.3,45.9,53.5,28.3,82.1,64.4,48.7,ST0128,Laki-laki,FIF,Sistem Komputer,2023,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
46.9,39.3,70.6,72.9,50.5,54.0,62.5,ST0130,Perempuan,FEB,Akuntansi,2024,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
49.7,81.8,42.2,55.5,41.5,61.9,33.8,ST0131,Laki-laki,FEB,Manajemen,2022,1,The Resilient & Adaptive,Baseline / Normatif
37.1,60.8,39.2,48.0,73.9,45.6,53.1,ST0133,Laki-laki,FIF,Informatika,2021,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
55.4,76.4,53.5,49.6,27.8,62.3,43.2,ST0134,Perempuan,FTE,Teknik Elektro,2022,1,The Resilient & Adaptive,Baseline / Normatif
33.4,43.9,38.2,45.0,62.4,56.8,40.1,ST0135,Perempuan,FEB,Manajemen,2022,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
73.9,47.5,61.8,53.1,35.5,51.6,42.1,ST0137,Laki-laki,FTE,Teknik Telekomunikasi,2022,1,The Resilient & Adaptive,Baseline / Normatif
48.0,68.1,50.7,54.9,41.1,55.0,33.3,ST0138,Perempuan,FRI,Sistem Informasi,2023,1,The Resilient & Adaptive,Baseline / Normatif
25.1,48.5,44.1,49.4,73.6,52.5,50.8,ST0139,Laki-laki,FEB,Akuntansi,2023,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
64.9,53.0,48.4,50.6,34.0,54.2,45.7,ST0141,Laki-laki,FIF,Informatika,2022,1,The Resilient & Adaptive,Baseline / Normatif
43.8,45.8,53.0,60.2,44.0,50.3,60.0,ST0143,Laki-laki,FEB,Akuntansi,2022,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
52.1,66.9,58.7,49.4,31.5,49.9,38.5,ST0144,Perempuan,FKS,Administrasi Bisnis,2023,1,The Resilient & Adaptive,Baseline / Normatif
69.6,72.1,54.0,77.3,42.4,50.0,38.6,ST0145,Laki-laki,FRI,Teknik Logistik,2023,1,The Resilient & Adaptive,Baseline / Normatif
53.4,73.2,56.8,55.3,35.1,39.7,38.8,ST0146,Perempuan,FTE,Teknik Elektro,2021,1,The Resilient & Adaptive,Baseline / Normatif
73.2,73.7,57.1,69.2,23.8,60.6,31.0,ST0147,Perempuan,FIF,Sistem Komputer,2022,1,The Resilient & Adaptive,Baseline / Normatif
50.6,71.2,53.1,69.2,33.3,66.9,32.2,ST0148,Perempuan,FKS,Ilmu Komunikasi,2022,1,The Resilient & Adaptive,Baseline / Normatif
48.7,63.7,50.2,45.6,28.3,60.8,43.0,ST0149,Perempuan,FIF,Informatika,2021,1,The Resilient & Adaptive,Baseline / Normatif
51.0,73.9,45.6,52.2,41.1,63.8,40.4,ST0151,Perempuan,FTE,Teknik Telekomunikasi,2024,1,The Resilient & Adaptive,Baseline / Normatif
71.5,42.7,44.4,36.9,30.8,61.8,48.8,ST0152,Laki-laki,FEB,Akuntansi,2023,1,The Resilient & Adaptive,Baseline / Normatif
59.4,50.2,64.5,62.2,47.3,40.7,47.9,ST0153,Laki-laki,FKS,Ilmu Komunikasi,2024,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
42.2,33.3,39.9,48.4,72.3,42.3,54.0,ST0154,Laki-laki,FTE,Teknik Elektro,2024,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
71.1,37.5,56.3,50.2,44.2,60.6,49.5,ST0155,Laki-laki,FIF,Sistem Komputer,2023,1,The Resilient & Adaptive,Baseline / Normatif
58.9,47.4,61.3,66.8,54.0,42.3,58.8,ST0157,Laki-laki,FTE,Teknik Elektro,2024,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
31.6,40.0,20.4,37.1,54.6,51.2,46.7,ST0158,Perempuan,FTE,Teknik Elektro,2022,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
80.9,57.6,49.3,41.2,45.9,62.2,39.0,ST0159,Perempuan,FEB,Manajemen,2024,1,The Resilient & Adaptive,Baseline / Normatif
45.8,40.9,65.0,55.3,51.5,55.0,68.7,ST0160,Laki-laki,FKS,Ilmu Komunikasi,2021,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
60.3,43.4,47.3,42.0,43.6,63.4,44.1,ST0161,Perempuan,FRI,Teknik Industri,2023,1,The Resilient & Adaptive,Baseline / Normatif
47.3,38.5,58.9,58.0,56.7,53.9,67.4,ST0162,Laki-laki,FRI,Sistem Informasi,2024,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
71.6,55.1,59.3,44.6,28.6,55.4,48.5,ST0163,Laki-laki,FIF,Data Sains,2024,1,The Resilient & Adaptive,Baseline / Normatif
30.5,50.3,34.1,43.3,71.7,49.3,44.0,ST0164,Perempuan,FRI,Teknik Logistik,2022,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
43.8,27.5,56.6,49.7,48.1,47.5,66.2,ST0165,Perempuan,FIF,Sistem Komputer,2024,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
78.0,52.9,49.6,43.4,57.6,64.4,46.2,ST0167,Perempuan,FRI,Teknik Industri,2023,1,The Resilient & Adaptive,Baseline / Normatif
58.5,74.4,54.8,65.4,37.0,62.2,31.5,ST0168,Perempuan,FRI,Sistem Informasi,2023,1,The Resilient & Adaptive,Baseline / Normatif
43.9,85.7,57.9,58.8,41.4,62.7,29.3,ST0170,Laki-laki,FIF,Informatika,2024,1,The Resilient & Adaptive,Baseline / Normatif
70.0,60.3,57.3,43.5,50.9,50.6,41.6,ST0172,Laki-laki,FTE,Teknik Elektro,2022,1,The Resilient & Adaptive,Baseline / Normatif
45.9,77.5,55.2,44.4,24.0,63.1,34.6,ST0173,Perempuan,FKS,Ilmu Komunikasi,2022,1,The Resilient & Adaptive,Baseline / Normatif
46.4,36.0,54.7,71.5,42.9,52.3,49.1,ST0174,Perempuan,FTE,Teknik Elektro,2022,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
30.2,40.0,24.0,41.0,76.8,48.4,49.6,ST0176,Laki-laki,FKS,Ilmu Komunikasi,2022,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
48.8,69.4,45.8,60.6,35.3,63.5,26.6,ST0177,Laki-laki,FKS,Administrasi Bisnis,2023,1,The Resilient & Adaptive,Baseline / Normatif
39.9,41.5,32.8,35.7,67.2,46.0,40.3,ST0178,Laki-laki,FRI,Teknik Industri,2023,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
79.5,42.7,57.7,45.5,32.9,55.7,45.1,ST0180,Laki-laki,FKS,Administrasi Bisnis,2022,1,The Resilient & Adaptive,Baseline / Normatif
64.3,72.4,61.0,65.4,39.9,47.3,46.8,ST0181,Laki-laki,FEB,Manajemen,2024,1,The Resilient & Adaptive,Baseline / Normatif
32.6,43.4,28.5,46.5,68.4,47.0,48.9,ST0182,Perempuan,FTE,Teknik Elektro,2022,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
74.1,77.7,58.3,48.0,39.7,55.2,40.8,ST0183,Perempuan,FTE,Teknik Elektro,2024,1,The Resilient & Adaptive,Baseline / Normatif
79.9,63.0,56.4,39.5,43.3,54.0,49.5,ST0184,Perempuan,FTE,Teknik Telekomunikasi,2023,1,The Resilient & Adaptive,Baseline / Normatif
46.8,90.0,48.2,64.0,30.6,61.3,32.0,ST0185,Laki-laki,FRI,Sistem Informasi,2021,1,The Resilient & Adaptive,Baseline / Normatif
52.8,87.4,51.5,51.8,35.5,47.1,27.9,ST0186,Perempuan,FRI,Teknik Logistik,2024,1,The Resilient & Adaptive,Baseline / Normatif
57.2,56.7,54.1,57.7,43.4,63.1,51.5,ST0187,Perempuan,FKS,Administrasi Bisnis,2022,1,The Resilient & Adaptive,Baseline / Normatif
45.5,47.6,60.9,52.4,59.4,66.1,62.5,ST0188,Perempuan,FRI,Teknik Logistik,2021,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
59.4,63.5,69.0,59.2,41.5,51.6,49.4,ST0189,Perempuan,FKS,Administrasi Bisnis,2023,1,The Resilient & Adaptive,Baseline / Normatif
48.7,71.7,57.9,45.3,33.2,63.6,33.5,ST0191,Laki-laki,FKS,Administrasi Bisnis,2021,1,The Resilient & Adaptive,Baseline / Normatif
69.6,55.7,68.4,55.5,44.1,52.1,34.0,ST0192,Perempuan,FRI,Teknik Industri,2021,1,The Resilient & Adaptive,Baseline / Normatif
61.1,45.5,50.4,50.2,43.2,53.3,35.7,ST0193,Perempuan,FTE,Teknik Telekomunikasi,2022,1,The Resilient & Adaptive,Baseline / Normatif
30.9,52.5,26.0,46.3,66.5,62.1,52.7,ST0194,Laki-laki,FKS,Administrasi Bisnis,2022,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
45.6,71.5,47.7,59.8,31.1,57.7,20.8,ST0195,Perempuan,FEB,Akuntansi,2021,1,The Resilient & Adaptive,Baseline / Normatif
55.5,86.3,54.2,65.8,36.2,61.2,37.7,ST0196,Perempuan,FTE,Teknik Telekomunikasi,2023,1,The Resilient & Adaptive,Baseline / Normatif
69.8,55.1,73.8,40.0,47.5,47.6,54.8,ST0197,Perempuan,FTE,Teknik Elektro,2022,1,The Resilient & Adaptive,Baseline / Normatif
62.2,79.5,46.3,40.8,47.5,69.4,42.8,ST0198,Perempuan,FEB,Manajemen,2023,1,The Resilient & Adaptive,Baseline / Normatif
71.1,51.5,59.8,39.6,20.5,63.8,50.4,ST0199,Perempuan,FTE,Teknik Telekomunikasi,2023,1,The Resilient & Adaptive,Baseline / Normatif
70.2,51.8,53.8,47.4,38.9,55.2,36.5,ST0200,Perempuan,FTE,Teknik Elektro,2023,1,The Resilient & Adaptive,Baseline / Normatif
35.0,56.6,41.2,40.1,75.8,56.2,45.5,ST0201,Laki-laki,FRI,Teknik Industri,2024,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
43.8,51.3,68.6,69.6,44.5,55.8,60.3,ST0202,Laki-laki,FTE,Teknik Telekomunikasi,2023,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
46.6,42.6,59.5,62.3,51.5,56.7,59.8,ST0203,Laki-laki,FEB,Akuntansi,2023,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
49.9,56.0,68.1,71.4,45.2,50.7,65.9,ST0204,Perempuan,FEB,Manajemen,2024,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
47.6,66.5,41.7,72.5,52.2,64.4,23.0,ST0205,Laki-laki,FIF,Sistem Komputer,2021,1,The Resilient & Adaptive,Baseline / Normatif
66.7,44.6,66.6,42.5,28.5,63.5,55.3,ST0206,Laki-laki,FRI,Sistem Informasi,2024,1,The Resilient & Adaptive,Baseline / Normatif
43.6,32.5,62.9,59.1,54.6,39.4,53.6,ST0207,Laki-laki,FEB,Manajemen,2024,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
36.7,35.4,47.6,32.2,83.0,51.1,49.8,ST0209,Laki-laki,FIF,Sistem Komputer,2023,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
70.6,53.0,64.4,49.6,23.2,57.9,49.0,ST0211,Perempuan,FRI,Teknik Industri,2022,1,The Resilient & Adaptive,Baseline / Normatif
46.9,34.6,66.2,68.5,48.3,54.1,65.2,ST0212,Perempuan,FEB,Manajemen,2021,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
56.7,69.8,45.1,62.3,40.2,76.5,26.3,ST0213,Perempuan,FKS,Administrasi Bisnis,2024,1,The Resilient & Adaptive,Baseline / Normatif
75.1,56.7,53.6,51.2,35.3,65.3,49.3,ST0214,Laki-laki,FEB,Akuntansi,2023,1,The Resilient & Adaptive,Baseline / Normatif
51.4,44.0,72.3,61.4,40.9,48.2,59.7,ST0215,Perempuan,FIF,Informatika,2021,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
63.3,66.0,46.3,67.3,33.3,58.4,30.4,ST0216,Laki-laki,FRI,Sistem Informasi,2024,1,The Resilient & Adaptive,Baseline / Normatif
43.5,47.8,60.4,60.9,54.1,42.7,60.6,ST0218,Perempuan,FKS,Ilmu Komunikasi,2023,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
